sample,gain_igrmonty,gain_coports,log10_gain_igrmonty,log10_gain_coports
0,9121.028330172825,2434.2563543084093,3.9600438046599216,3.3863663123488665
1,4669.043001131039,9389.752237489474,3.669227873731176,3.9726541329145935
2,1496.426254751958,12661.444960452214,3.1750553192761486,4.102483271442898
3,11214.294704460312,3.624403217655092,4.049771964892417,0.5592365072888263
4,845.7436219610264,207.43217242147972,2.9272387313106525,2.3168761157054822
5,1688.8624065299982,9915.952921432307,3.227594268565148,3.9963344561745755
6,112.6450700357221,987.756563077842,2.051712189374245,2.9946499240016964
7,4240.11883365684,4864.823545617035,3.627378028309296,3.6870670923834843
8,891.0123156789487,2818.8096714840503,2.949883706948708,3.450065752914967
9,132.86128719565403,1107.1884285756962,2.123398455686907,3.0442215382470907
10,6865.253602572481,2674.7801666490072,3.8366565847138587,3.42728809426959
11,206.81581553943175,530.27703518812,2.315583746892264,2.7245028194492504
12,1606.525470313087,367.93660511788266,3.205887615370723,2.565772996882181
13,813.3635660468648,2206.017166850592,2.910284714639523,3.3436088877231542
14,23204.988343865938,6263.667649559462,4.365581354603962,3.7968287059797072
15,434.64669886389987,28556.692334762225,2.638136385512705,4.455707902545626
16,2629.869165101909,2599.366685366612,3.4199341430571857,3.4148675485269266
17,1327.5046190765977,4090.6129972370977,3.1230360408917273,3.611788393916694
18,113.84487532832722,15420.7235251451,2.056313485836354,4.188104750861917
19,2475.3757993434906,1248.021665080891,3.3936411407208475,3.096222124563883
20,984.4302370641884,9182.682547174514,2.9931849447183416,3.9629695706620423
21,926.3602582341792,4650.678294675431,2.9667799151227614,3.6675162987290064
22,8206.237385670804,703.5732943965303,3.914144075852409,2.8473093465382164
23,699.3353815566159,1077.062319300204,2.8446855011075143,3.0322408324949968
24,23.25073572871921,17641.488169859025,1.3664366999299515,4.246535217796779
25,4640.7780687099485,30631.248459361133,3.666590800084787,4.486164698013294
26,22.585185628205828,72.93656772067928,1.353823664389296,1.8629453222483698
27,1993.0865157736519,158.82483151076235,3.299526150937112,2.2009184032864746
28,1713.9627825467603,117.42000302318797,3.234001387301264,2.069742087223333
29,659.0035909781516,12983.18623899217,2.8188877811156288,4.113381286932882
30,2414.899684518472,12444.965357083198,3.3828990947707838,4.094993692005396
31,383.98988441534925,12767.776838444066,2.584319783741334,4.106115283257962
32,3257.2640046702345,1791.361718503777,3.5128529600155542,3.2531832890811843
33,2658.169485176863,9916.82881461653,3.424582668153157,3.9963728164592753
34,3302.5184127733023,6879.0619740289185,3.518845247647216,3.837529222061542
35,1240.2233882082924,2342.0224694970625,3.093499917039982,3.3695910574023453
36,619.6708840211849,374.12564915464367,2.7921610907825687,2.573017483403971
37,118.62123241796724,2870.6676663094927,2.0741624318330616,3.457982917664702
38,2071.9526070064253,69033.63057928719,3.316379817313067,4.839060714168956
39,1655.0085777844072,2063.682385615332,3.2188002490330554,3.314642857301642
40,10069.165584952598,37.18005341169418,4.002993482781495,1.5703100093301077
41,990.4790769666405,1544.639175615421,2.9958453058675927,3.1888270453527
42,3698.0840671741084,6698.498571819243,3.567976779590823,3.825977469111826
43,9.687244883147786,2180.0611659072642,0.9862002783737146,3.3384686787621045
44,575.4307638861623,2487.5656177075307,2.759993076582551,3.3957745455112045
45,570.6293434973586,444.87628807324467,2.756354100639173,2.6482392584489185
46,9467.65103401871,775.7831215412169,3.976242241991196,2.889740326564305
47,486.14615203647844,18588.138310294966,2.686766852556393,4.2692358953096505
48,11849.385691562446,3687.592771469026,4.07369583577396,3.5667429549876477
49,33815.73037606304,68.67379329227377,4.529118772062066,1.8367910369151539
50,18563.670470415993,5854.099009140859,4.268663850516752,3.767460063290789
51,2951.2668399037207,4392.771711176841,3.4700084781745075,3.6427386339158176
52,30112.049494617742,74.94023976389335,4.478740315589541,1.8747150782422903
53,4265.7342964940335,7278.0487702508735,3.6299938006773576,3.8620149614700394
54,213.93804102705357,35.20248177161595,2.330288014768914,1.546573282277113
55,717.5070679168093,6159.351976837868,2.8558261835135563,3.7895350226047397
56,4342.6180047257685,3109.893439955174,3.637751628640132,3.4927455082447434
57,20563.023492977514,1575.7841361145813,4.313086971693684,3.1974967239941416
58,2798.587223870945,273.43557056051344,3.446938847156816,2.4368550102073083
59,233.31179127182858,12049.05965712907,2.367936688021726,4.080953154657334
60,11463.266926855464,14993.272489585368,4.059308405250321,4.175896433986157
61,440.19040365159054,317.5853303882501,2.6436405705058603,2.5018604336839867
62,848.066753113049,3037.24829186725,2.9284300378317907,3.4824802964886175
63,7883.51349811,856.0633197882195,3.8967198155559766,2.932505888996755
64,446.23830765110637,4526.493342328864,2.649566849872899,3.655761885936611
65,18826.482617784673,5597.477269462242,4.274769187654579,3.74799233864818
66,4996.574100275824,307.41539166496256,3.698672332475822,2.4877256079516825
67,16732.779423415708,11534.27288173826,4.223568086090557,4.061990221882511
68,814.7236794180437,7592.759141310236,2.9110103389829676,3.880399623339132
69,7132.089889535445,2051.412127888851,3.85321680818296,3.3120529187241767
70,2892.7679475920127,24.61770370343908,3.4613135967581288,1.3912475402510436
71,1406.3058323914638,11499.311709037747,3.1480797779217013,4.060671846448166
72,3170.2632917309165,8487.805100611837,3.50109533205923,3.928795398614702
73,6044.818654758794,1489.565393790101,3.7813832765087962,3.1730595740423557
74,581.2359696448162,3149.11257815087,2.764352482664673,3.498188186579945
